Coefficient,2.7200000000000002
Nodes,52
Diameter,5
Giant Cluster Density,0.5263644773358002
% Nodes in Giant Cluster,0.9038461538461539
Mode Value,3.87100727828
Mode Name,5

Name,Value,Degree
0,10.821401894899999,11
1,3.5441131504000003,31
2,1.9775602204700002,26
3,3.6247607891400002,31
4,9.27675631392,11
5,3.87100727828,33
6,12.3827927459,4
7,3.32119518393,31
8,3.0637908565599994,31
9,3.3974985529600001,31
10,2.7817592611999999,30
11,10.674174215100001,11
12,3.16226111282,31
13,8.6312339873199999,12
14,2.3680816008600001,28
15,3.4085230277599998,31
16,9.2104556715699992,12
17,11.763502488399999,6
18,2.7524765741299997,29
19,3.0546979162199999,31
20,2.4902556140500001,28
21,2.7725232936099999,30
22,3.9916457732400001,33
23,2.6576034643799997,29
24,8.7387464275699998,12
25,5.3317520933199996,30
26,2.1051980984699998,26
27,3.6383115978400005,31
28,5.4792673938100007,28
29,8.7657904807999998,12
30,2.9863124426400001,31
31,7.902823120239999,12
32,3.2006091756299995,31
33,5.0292701739999996,31
34,4.6716632227800003,33
35,6.4168739369900001,16
36,2.7963383428599999,30
37,8.9764214094100012,12
38,4.3978588034800001,33
39,6.49722565233,17
40,2.9490798552900004,31
41,24.190738891199999,0
42,3.5688514905500002,31
43,16.6004353971,1
44,20.671005110300001,1
45,3.1881201998199997,31
46,15.377803365999998,1
47,8.6477210838600005,12
48,5.6186513326499998,25
49,11.3024508755,11
50,20.353827357899998,1
51,4.9497383465900002,31
