Coefficient,0.75
Nodes,27
Diameter,3
Giant Cluster Density,0.5583333333333333
% Nodes in Giant Cluster,0.5925925925925926
Mode Value,2.6937351682999999
Mode Name,1

Name,Value,Degree
0,2.8949136640099997,10
1,2.6937351682999999,11
2,5.7809743611500002,2
3,2.5474327909599999,10
4,3.7851060218099999,4
5,2.7431105831200004,10
6,3.8872540580400003,4
7,2.1701781677600001,10
8,4.8469245792699995,5
9,10.213883429800001,1
10,2.5184373453599997,10
11,3.4275055077399998,8
12,4.9032442489800001,5
13,4.7204660284400006,4
14,2.6875846911400001,11
15,4.743788103,4
16,2.2301221606200001,10
17,6.2843455054900001,2
18,1.9559817337000001,8
19,2.4657672492099998,10
20,3.7480160854100002,4
21,5.5416935148800004,4
22,4.6973758001199997,4
23,10.0438283688,1
24,12.855873577400001,0
25,3.70808207931,4
26,2.3105072548000001,10
