Coefficient,1.3100000000000001
Nodes,27
Diameter,5
Giant Cluster Density,0.5217391304347826
% Nodes in Giant Cluster,0.8888888888888888
Mode Value,3.4275055077399998
Mode Name,11

Name,Value,Degree
0,2.8949136640099997,15
1,2.6937351682999999,15
2,5.7809743611500002,7
3,2.5474327909599999,14
4,3.7851060218099999,15
5,2.7431105831200004,15
6,3.8872540580400003,13
7,2.1701781677600001,11
8,4.8469245792699995,10
9,10.213883429800001,1
10,2.5184373453599997,14
11,3.4275055077399998,16
12,4.9032442489800001,10
13,4.7204660284400006,11
14,2.6875846911400001,15
15,4.743788103,10
16,2.2301221606200001,11
17,6.2843455054900001,2
18,1.9559817337000001,10
19,2.4657672492099998,13
20,3.7480160854100002,16
21,5.5416935148800004,7
22,4.6973758001199997,11
23,10.0438283688,1
24,12.855873577400001,0
25,3.70808207931,16
26,2.3105072548000001,11
