Coefficient,0.66000000000000003
Nodes,36
Diameter,9
Giant Cluster Density,0.2698412698412698
% Nodes in Giant Cluster,0.7777777777777778
Mode Value,2.5474327909599999
Mode Name,3

Name,Value,Degree
0,2.8949136640099997,8
1,2.6937351682999999,10
2,5.7809743611500002,2
3,2.5474327909599999,11
4,19.174001253299998,0
5,3.7851060218099999,5
6,2.7431105831200004,10
7,3.8872540580400003,5
8,2.1701781677600001,10
9,4.8469245792699995,6
10,11.144034533199999,1
11,10.213883429800001,1
12,2.5184373453599997,11
13,3.4275055077399998,6
14,4.9032442489800001,7
15,14.092095620699999,0
16,4.7204660284400006,6
17,2.6875846911400001,10
18,4.743788103,6
19,2.2301221606200001,10
20,11.264115531300002,1
21,6.2843455054900001,1
22,5.0084333757600001,7
23,1.9559817337000001,7
24,2.4657672492099998,11
25,3.7480160854100002,5
26,5.5416935148800004,4
27,4.6973758001199997,7
28,9.1464241248700002,0
29,10.0438283688,1
30,2.1527042348799998,10
31,5.0883483361200001,7
32,12.855873577400001,0
33,3.70808207931,5
34,2.3105072548000001,11
35,4.0524889052299997,6
